RACE_TRACK,RACE_DATE,POS,DRIVER,CAR,MANUFACTURER,LAPS,START,LED,PTS,BONUS,PENALTY
Bristol,2023-04-09 00:00:00,20,J.J. Yeley,15,Ford,250,3,0,0,0,0
Bristol,2023-04-09 00:00:00,21,Ty Dillon,77,Chevrolet,250,32,0,16,0,0
Bristol,2023-04-09 00:00:00,22,Denny Hamlin,11,Toyota,250,30,0,15,0,0
Bristol,2023-04-09 00:00:00,23,Ryan Blaney,12,Ford,250,9,0,23,0,9
Bristol,2023-04-09 00:00:00,24,Ryan Preece,41,Ford,250,8,0,20,0,7
Bristol,2023-04-09 00:00:00,25,Daniel Suarez,99,Chevrolet,250,34,0,12,0,0
Bristol,2023-04-09 00:00:00,26,B.J. McLeod,78,Chevrolet,250,37,0,11,0,0
Bristol,2023-04-09 00:00:00,27,Josh Berry,9,Chevrolet,250,31,0,0,0,0
Bristol,2023-04-09 00:00:00,28,Ross Chastain,1,Chevrolet,249,16,0,9,0,0
Bristol,2023-04-09 00:00:00,29,Alex Bowman,48,Chevrolet,248,17,0,8,0,0
Bristol,2023-04-09 00:00:00,30,Corey LaJoie,7,Chevrolet,247,35,0,7,0,0
Bristol,2023-04-09 00:00:00,31,Aric Almirola,10,Ford,240,19,0,7,0,1
Bristol,2023-04-09 00:00:00,32,Kyle Busch,8,Chevrolet,236,5,6,19,0,14
Bristol,2023-04-09 00:00:00,33,Noah Gragson,42,Chevrolet,205,36,0,4,0,0
Bristol,2023-04-09 00:00:00,34,Matt Crafton,51,Ford,185,24,0,0,0,0
Bristol,2023-04-09 00:00:00,35,Kyle Larson,5,Chevrolet,177,1,75,20,0,18
Bristol,2023-04-09 00:00:00,36,Jonathan Davenport,13,Chevrolet,176,21,0,1,0,0
Bristol,2023-04-09 00:00:00,37,Joey Logano,22,Ford,96,12,0,1,0,0
Bristol,2022-04-17 00:00:00,1,Kyle Busch,18,Toyota,250,11,1,52,0,12
Bristol,2022-04-17 00:00:00,2,Tyler Reddick,8,Chevrolet,250,3,99,39,0,4
Bristol,2022-04-17 00:00:00,3,Joey Logano,22,Ford,250,10,0,42,0,8
Bristol,2022-04-17 00:00:00,4,Kyle Larson,5,Chevrolet,250,5,27,48,0,15
Bristol,2022-04-17 00:00:00,5,Ryan Blaney,12,Ford,250,25,0,36,0,4
Bristol,2022-04-17 00:00:00,6,Alex Bowman,48,Chevrolet,250,8,0,36,0,5
Bristol,2022-04-17 00:00:00,7,Christopher Bell,20,Toyota,250,2,0,47,0,17
Bristol,2022-04-17 00:00:00,8,Chase Elliott,9,Chevrolet,250,9,0,36,0,7
