RACE_TRACK,RACE_DATE,POS,DRIVER,CAR,MANUFACTURER,LAPS,START,LED,PTS,BONUS,PENALTY
Atlanta,2022-03-20 00:00:00,35,Austin Dillon,3,Chevrolet,101,17,0,2,0,0
Atlanta,2022-03-20 00:00:00,36,Ty Dillon,42,Chevrolet,101,18,0,1,0,0
Atlanta,2022-03-20 00:00:00,37,Noah Gragson,16,Chevrolet,23,30,0,0,0,0
Atlanta,2021-03-21 00:00:00,1,Ryan Blaney,12,Ford,325,10,25,57,0,17
Atlanta,2021-03-21 00:00:00,2,Kyle Larson,5,Chevrolet,325,6,269,55,0,20
Atlanta,2021-03-21 00:00:00,3,Alex Bowman,48,Chevrolet,325,14,0,47,0,13
Atlanta,2021-03-21 00:00:00,4,Denny Hamlin,11,Toyota,325,1,27,41,0,8
Atlanta,2021-03-21 00:00:00,5,Kyle Busch,18,Toyota,325,19,0,48,0,16
Atlanta,2021-03-21 00:00:00,6,Austin Dillon,3,Chevrolet,325,13,0,35,0,4
Atlanta,2021-03-21 00:00:00,7,Chris Buescher,17,Ford,325,17,0,35,0,5
Atlanta,2021-03-21 00:00:00,8,William Byron,24,Chevrolet,325,9,2,36,0,7
Atlanta,2021-03-21 00:00:00,9,Martin Truex Jr.,19,Toyota,325,2,0,32,0,4
Atlanta,2021-03-21 00:00:00,10,Kevin Harvick,4,Ford,325,7,0,27,0,0
Atlanta,2021-03-21 00:00:00,11,Matt DiBenedetto,21,Ford,325,20,0,31,0,5
Atlanta,2021-03-21 00:00:00,12,Ricky Stenhouse Jr.,47,Chevrolet,325,12,0,25,0,0
Atlanta,2021-03-21 00:00:00,13,Ryan Newman,6,Ford,325,28,0,24,0,0
Atlanta,2021-03-21 00:00:00,14,Ross Chastain,42,Chevrolet,325,21,0,23,0,0
Atlanta,2021-03-21 00:00:00,15,Joey Logano,22,Ford,324,3,0,22,0,0
Atlanta,2021-03-21 00:00:00,16,Bubba Wallace,23,Toyota,324,15,0,21,0,0
Atlanta,2021-03-21 00:00:00,17,Daniel Suarez,99,Chevrolet,324,25,1,21,0,1
Atlanta,2021-03-21 00:00:00,18,Cole Custer,41,Ford,324,27,0,19,0,0
Atlanta,2021-03-21 00:00:00,19,Michael McDowell,34,Ford,324,18,0,18,0,0
Atlanta,2021-03-21 00:00:00,20,Aric Almirola,10,Ford,324,16,0,17,0,0
Atlanta,2021-03-21 00:00:00,21,Christopher Bell,20,Toyota,323,8,0,16,0,0
Atlanta,2021-03-21 00:00:00,22,Austin Cindric,33,Ford,323,39,0,0,0,0
Atlanta,2021-03-21 00:00:00,23,Chase Briscoe,14,Ford,323,24,0,14,0,0
Atlanta,2021-03-21 00:00:00,24,Erik Jones,43,Chevrolet,323,22,0,13,0,0
Atlanta,2021-03-21 00:00:00,25,Ryan Preece,37,Chevrolet,323,23,0,12,0,0
Atlanta,2021-03-21 00:00:00,26,Tyler Reddick,8,Chevrolet,323,29,0,11,0,0
Atlanta,2021-03-21 00:00:00,27,Anthony Alfredo,38,Ford,322,32,0,10,0,0
Atlanta,2021-03-21 00:00:00,28,Brad Keselowski,2,Ford,321,4,0,9,0,0
Atlanta,2021-03-21 00:00:00,29,Corey LaJoie,7,Chevrolet,319,30,0,8,0,0
Atlanta,2021-03-21 00:00:00,30,Justin Haley,77,Chevrolet,319,26,0,0,0,0
Atlanta,2021-03-21 00:00:00,31,Cody Ware,51,Chevrolet,316,33,0,0,0,0
Atlanta,2021-03-21 00:00:00,32,James Davison,15,Chevrolet,316,34,0,5,0,0
Atlanta,2021-03-21 00:00:00,33,Quin Houff,00,Chevrolet,314,35,0,4,0,0
Atlanta,2021-03-21 00:00:00,34,B.J. McLeod,78,Ford,313,31,0,0,0,0
Atlanta,2021-03-21 00:00:00,35,Joey Gase,53,Chevrolet,308,36,0,2,0,0
Atlanta,2021-03-21 00:00:00,36,Timmy Hill,66,Toyota,305,38,0,0,0,0
Atlanta,2021-03-21 00:00:00,37,Josh Bilicki,52,Ford,285,37,0,1,0,0
Atlanta,2021-03-21 00:00:00,38,Chase Elliott,9,Chevrolet,220,5,0,4,0,3
Atlanta,2021-03-21 00:00:00,39,Kurt Busch,1,Chevrolet,113,11,1,8,0,7
Atlanta,2023-07-09 00:00:00,1,William Byron,24,Chevrolet,185,18,20,46,0,6
Atlanta,2023-07-09 00:00:00,2,Daniel Suarez,99,Chevrolet,185,26,0,35,0,0
Atlanta,2023-07-09 00:00:00,3,AJ Allmendinger,16,Chevrolet,185,19,6,40,0,6
Atlanta,2023-07-09 00:00:00,4,Michael McDowell,34,Ford,185,20,0,39,0,6
Atlanta,2023-07-09 00:00:00,5,Kyle Busch,8,Chevrolet,185,22,0,32,0,0
Atlanta,2023-07-09 00:00:00,6,Brad Keselowski,6,Ford,185,11,19,41,0,10
Atlanta,2023-07-09 00:00:00,7,J.J. Yeley,15,Ford,185,24,0,0,0,0
Atlanta,2023-07-09 00:00:00,8,Justin Haley,31,Chevrolet,185,17,0,33,0,4
Atlanta,2023-07-09 00:00:00,9,Ryan Blaney,12,Ford,185,2,20,47,0,19
Atlanta,2023-07-09 00:00:00,10,Ricky Stenhouse Jr.,47,Chevrolet,185,29,0,27,0,0
Atlanta,2023-07-09 00:00:00,11,Erik Jones,43,Chevrolet,185,25,0,26,0,0
Atlanta,2023-07-09 00:00:00,12,Austin Cindric,2,Ford,185,10,10,36,0,11
Atlanta,2023-07-09 00:00:00,13,Chase Elliott,9,Chevrolet,185,23,0,24,0,0
Atlanta,2023-07-09 00:00:00,14,Denny Hamlin,11,Toyota,185,14,0,23,0,0
Atlanta,2023-07-09 00:00:00,15,Chris Buescher,17,Ford,185,15,39,30,0,8
Atlanta,2023-07-09 00:00:00,16,Todd Gilliland,38,Ford,185,9,0,21,0,0
Atlanta,2023-07-09 00:00:00,17,Joey Logano,22,Ford,185,4,11,27,0,7
Atlanta,2023-07-09 00:00:00,18,Aric Almirola,10,Ford,185,1,47,20,0,1
Atlanta,2023-07-09 00:00:00,19,Ty Dillon,77,Chevrolet,185,27,0,18,0,0
Atlanta,2023-07-09 00:00:00,20,B.J. McLeod,78,Chevrolet,185,35,1,17,0,0
Atlanta,2023-07-09 00:00:00,21,Austin Dillon,3,Chevrolet,185,33,0,16,0,0
Atlanta,2023-07-09 00:00:00,22,Chase Briscoe,14,Ford,185,3,0,15,0,0
Atlanta,2023-07-09 00:00:00,23,Christopher Bell,20,Toyota,185,34,0,21,0,9
Atlanta,2023-07-09 00:00:00,24,Ryan Preece,41,Ford,185,13,0,14,0,1
Atlanta,2023-07-09 00:00:00,25,Bubba Wallace,23,Toyota,185,37,1,17,0,5
Atlanta,2023-07-09 00:00:00,26,Alex Bowman,48,Chevrolet,185,36,0,11,0,0
Atlanta,2023-07-09 00:00:00,27,Tyler Reddick,45,Toyota,185,12,0,12,0,2
Atlanta,2023-07-09 00:00:00,28,Harrison Burton,21,Ford,184,5,0,9,0,0
Atlanta,2023-07-09 00:00:00,29,Martin Truex Jr.,19,Toyota,184,16,1,16,0,8
Atlanta,2023-07-09 00:00:00,30,Kevin Harvick,4,Ford,181,6,0,7,0,0
Atlanta,2023-07-09 00:00:00,31,Corey LaJoie,7,Chevrolet,179,28,0,6,0,0
Atlanta,2023-07-09 00:00:00,32,Cole Custer,51,Ford,178,21,0,0,0,0
Atlanta,2023-07-09 00:00:00,33,Noah Gragson,42,Chevrolet,174,31,0,4,0,0
Atlanta,2023-07-09 00:00:00,34,Ty Gibbs,54,Toyota,150,7,0,3,0,0
Atlanta,2023-07-09 00:00:00,35,Ross Chastain,1,Chevrolet,124,30,0,2,0,0
Atlanta,2023-07-09 00:00:00,36,Kyle Larson,5,Chevrolet,111,8,1,10,0,9
Atlanta,2023-07-09 00:00:00,37,Austin Hill,62,Chevrolet,92,32,0,0,0,0
Atlanta,2022-07-10 00:00:00,1,Chase Elliott,9,Chevrolet,260,1,96,60,0,20
Atlanta,2022-07-10 00:00:00,2,Ross Chastain,1,Chevrolet,260,2,32,45,0,10
Atlanta,2022-07-10 00:00:00,3,Austin Cindric,2,Ford,260,5,7,34,0,0
Atlanta,2022-07-10 00:00:00,4,Erik Jones,43,Chevrolet,260,25,10,33,0,0
